Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_10-f_11-i.log,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,484.4822,350.23,Training,572.1828638028759
6Heliceno_2-cl_6-i_12-br.log,0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,566.374,353.4,Training,563.6029536496255
6Heliceno_8-br_11-br_12-br_13-i_14-cl.log,0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,5,115.5001,359.97,Training,264.7696141835159
6Heliceno_2-i_4-i_12-cl_15-br_16-br.log,0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,5,521.1104,369.31,Training,505.72359151592815
6Heliceno_14-cl_15-i.log,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,774.6917,347.5,Training,808.811319333034
6Heliceno_1-i_2-cl_4-cl_9-i_13-br_15-i.log,4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,6,600.8041,374.17,Training,552.3387004930293
6Heliceno_3-br_10-br_11-i_12-i_13-cl_15-br.log,0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,6,436.2708,361.34,Training,340.9144422115102
6Heliceno_2-br_3-br_5-f_12-f_14-br_15-br.log,0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,6,932.7682,352.08,Training,767.05630786195
6Heliceno_1-i_4-i_5-br_7-br_11-i_15-br.log,4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,6,310.573,391.63,Training,345.95916995831266
6Heliceno_15-br_16-f.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,630.3364,347.1,Training,655.1138400272399
6Heliceno_2-f_5-i_10-i_12-br.log,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,392.8587,358.78,Training,418.7323239922343
6Heliceno_2-f_11-cl_12-cl_13-i_15-br.log,0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,5,272.707,368.46,Training,443.84702681064806
6Heliceno_3-f_7-br_14-cl.log,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,3,680.0007,345.91,Training,629.8561135924664
6Heliceno_5-f_6-f_8-i_10-i_15-br_16-br.log,0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,6,527.25,370.41,Training,486.6039708038049
6Heliceno_3-f_5-f_13-i_14-cl_15-f.log,0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,5,566.808,346.98,Training,574.0607748645509
6Heliceno_8-cl.log,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,668.6168,344.16,Training,664.8805050257265
6Heliceno_6-f_8-br_16-i.log,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,3,620.5532,360.34,Training,584.4812345579263
6Heliceno_2-f_9-i_12-i.log,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,519.8735,352.48,Training,504.2108591970783
