Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_10-f_11-i.log,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,484.4822,350.23,Training,556.4010471807228
6Heliceno_8-br_11-br_12-br_13-i_14-cl.log,0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,5,115.5001,359.97,Training,266.34654690011877
6Heliceno_2-i_4-i_12-cl_15-br_16-br.log,0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,5,521.1104,369.31,Training,563.8979474801489
6Heliceno_1-i_2-cl_4-cl_9-i_13-br_15-i.log,4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,6,600.8041,374.17,Training,413.4137790251818
6Heliceno_3-br_10-br_11-i_12-i_13-cl_15-br.log,0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,6,436.2708,361.34,Training,338.74110495163785
6Heliceno_2-br_3-br_5-f_12-f_14-br_15-br.log,0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,6,932.7682,352.08,Training,674.1145501041603
6Heliceno_1-i_4-i_5-br_7-br_11-i_15-br.log,4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,6,310.573,391.63,Training,345.43702176889985
6Heliceno_2-f_5-i_10-i_12-br.log,0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,4,392.8587,358.78,Training,425.80193464546323
6Heliceno_2-f_11-cl_12-cl_13-i_15-br.log,0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,5,272.707,368.46,Training,338.6225704055926
6Heliceno_3-f_7-br_14-cl.log,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,3,680.0007,345.91,Training,601.6129694919038
6Heliceno_5-f_6-f_8-i_10-i_15-br_16-br.log,0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,6,527.25,370.41,Training,518.6045903576907
6Heliceno_3-f_5-f_13-i_14-cl_15-f.log,0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,5,566.808,346.98,Training,519.6367693378835
6Heliceno_2-cl_4-f.log,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,698.8705,344.2,Training,656.5573511667692
6Heliceno_6-f_8-br_16-i.log,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,3,620.5532,360.34,Training,645.2100288032519
6Heliceno_2-f_9-i_12-i.log,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,519.8735,352.48,Training,516.0607461577254
6Heliceno_3-f_4-i_11-f_15-f.log,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,4,491.1827,344.8,Training,551.7200796206195
6Heliceno_2-f_5-i_7-cl_9-br_14-br_15-br.log,0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,6,546.7089,362.51,Training,524.2229333466272
6Heliceno_2-f_3-br_4-i_5-br_16-i.log,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,5,128.5916,373.48,Training,322.32149625464046
6Heliceno_3-br_4-f.log,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,722.1028,343.5,Training,680.1895458705594
6Heliceno_5-f_13-f_15-f.log,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,629.6745,341.54,Training,574.5463037463109
6Heliceno_4-f_9-i_15-i.log,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,3,676.0763,353.75,Training,566.6760664475239
6Heliceno_2-br_4-cl_5-br.log,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,504.1115,359.1,Training,524.2107771475684
