n_subs,rank,genotype,mu_real,sigma_real
7,1,0-1-1-0-0-0-1-0-0-1-0-0-1-1-1-0,342.11203,0.9324804
7,2,0-1-1-1-0-0-1-0-0-1-0-0-0-1-1-0,342.11203,0.9324804
7,3,0-1-1-0-0-0-1-0-0-1-0-0-1-1-1-0,342.11203,0.9324804
7,4,0-1-1-0-0-0-1-0-0-1-0-0-1-1-1-0,342.11203,0.9324804
7,5,0-1-1-1-0-0-1-0-0-0-0-0-1-1-1-0,342.56836,0.49239781
7,6,0-1-1-1-0-0-0-0-0-1-0-0-1-1-1-0,342.56836,0.49239781
7,7,0-1-2-0-0-0-1-0-0-1-0-0-1-1-1-0,342.9666,0.37926096
7,8,0-1-1-1-0-0-1-0-0-1-0-0-0-2-1-0,342.9666,0.37926096
7,9,0-1-2-1-0-0-1-0-0-1-0-0-0-1-1-0,343.0163,0.37056917
7,10,0-1-2-1-0-0-1-0-0-0-0-0-1-1-1-0,343.46506,0.018472735
7,11,0-1-1-1-0-0-1-0-0-0-0-0-1-2-1-0,343.48523,0.0008085032
7,12,0-1-1-0-0-1-1-0-0-1-0-0-0-1-1-0,342.3948,1.189903
7,13,0-1-1-0-0-0-1-0-0-1-1-0-0-1-1-0,342.3948,1.189903
7,14,0-1-1-1-0-0-1-0-0-0-1-0-0-1-1-0,342.70532,0.89005333
7,15,0-1-1-1-0-1-0-0-0-1-0-0-0-1-1-0,342.7266,0.8753305
7,16,0-1-1-1-0-0-0-0-0-1-1-0-0-1-1-0,342.71814,0.9023186
7,17,0-1-1-0-0-1-1-0-0-0-0-0-1-1-1-0,342.71814,0.9023186
7,18,0-1-1-1-0-1-0-0-0-0-0-0-1-1-1-0,343.17422,0.49822482
7,19,0-1-1-0-0-0-1-0-0-1-0-0-0-1-1-1,342.08917,1.6701264
7,20,0-1-1-1-0-0-1-0-0-0-0-0-0-1-1-1,342.49872,1.3170353
7,21,0-1-1-0-0-0-1-0-0-0-0-0-1-1-1-1,342.52905,1.3187752
7,22,0-1-1-1-0-0-1-0-0-1-0-0-1-0-1-0,343.32358,0.5575746
7,23,0-1-1-1-0-0-1-0-0-1-0-0-0-3-1-0,343.23407,0.6487352
7,24,0-1-3-0-0-0-1-0-0-1-0-0-1-1-1-0,343.23407,0.6487352
7,25,0-1-2-0-0-0-1-0-0-1-1-0-0-1-1-0,343.26724,0.6280015
7,26,0-1-1-0-0-1-1-0-0-1-0-0-0-2-1-0,343.26724,0.6280015
7,27,0-1-2-0-0-1-1-0-0-1-0-0-0-1-1-0,343.30078,0.61478925
7,28,0-1-2-0-0-0-1-0-0-1-0-0-1-2-1-0,344.0268,-0.07058843
7,29,0-1-1-1-0-0-0-0-0-0-0-0-1-1-1-1,343.04013,0.91912967
7,30,0-1-2-0-0-0-1-0-0-0-1-0-1-1-1-0,343.60138,0.39496797
7,31,0-1-1-1-0-1-0-0-0-1-0-0-0-2-1-0,343.60138,0.39496797
7,32,0-1-1-1-0-0-1-0-0-1-0-0-1-1-0-0,343.33566,0.6614397
7,33,0-1-2-1-0-1-0-0-0-1-0-0-0-1-1-0,343.6736,0.3525178
7,34,0-1-1-0-0-1-0-0-0-1-0-0-1-2-1-0,343.64236,0.39434186
7,35,0-1-2-1-0-0-0-0-0-1-1-0-0-1-1-0,343.6659,0.39030975
7,36,0-1-1-1-0-0-0-0-0-0-1-0-1-2-1-0,344.10535,0.04614201
7,37,0-1-1-0-0-1-0-0-0-1-1-0-0-1-1-0,343.0327,1.132442
7,38,0-1-1-1-0-0-1-0-0-0-0-0-1-3-1-0,343.84802,0.36564147
7,39,0-1-2-1-0-0-0-0-0-1-0-0-1-2-1-0,344.53854,-0.28984317
7,40,0-1-1-0-0-1-0-0-0-1-0-0-2-1-1-0,343.95297,0.35823244
7,41,0-1-1-0-0-1-1-0-0-0-0-0-2-1-1-0,343.96365,0.374739
7,42,1-1-1-0-0-1-0-0-0-1-0-0-0-1-1-0,342.7619,1.5927081
7,43,0-1-1-0-0-0-1-0-1-1-0-0-0-1-1-0,342.99026,1.3712586
7,44,0-1-1-1-0-0-1-0-0-0-0-0-0-2-1-1,343.4727,0.9117631
7,45,0-1-1-0-0-0-0-0-0-1-1-0-0-1-1-1,342.77673,1.6126713
7,46,1-1-1-0-0-1-1-0-0-0-0-0-0-1-1-0,342.77673,1.6126713
7,47,0-1-3-0-0-1-1-0-0-1-0-0-0-1-1-0,343.54584,0.86191803
7,48,1-1-1-0-0-0-0-0-0-1-1-0-0-1-1-0,342.7899,1.6377296
7,49,0-1-1-1-0-0-1-0-0-1-1-0-0-0-1-0,343.50143,0.92851454
7,50,0-1-0-0-0-0-1-0-0-1-1-0-1-1-1-0,343.53482,0.9124517
7,51,0-1-1-1-0-0-1-1-0-0-0-0-0-1-1-0,343.32895,1.1267021
7,52,0-1-2-0-0-0-0-0-0-1-0-0-1-1-1-1,343.54156,0.93103534
7,53,0-1-0-1-0-1-1-0-0-1-0-0-0-1-1-0,343.5564,0.9220443
7,54,0-1-1-1-0-0-0-0-1-0-0-0-1-1-1-0,343.73907,0.7432363
7,55,0-1-1-0-0-1-1-0-0-1-0-0-1-0-1-0,343.53583,0.95197606
7,56,0-1-0-1-0-0-1-0-0-1-1-0-0-1-1-0,343.53583,0.95197606
7,57,0-1-1-2-0-1-0-0-0-0-0-0-1-1-1-0,344.5292,-0.040510774
7,58,1-1-1-0-0-0-0-0-0-1-0-0-1-2-1-0,343.55542,0.9377297
7,59,1-1-1-1-0-1-0-0-0-0-0-0-0-1-1-0,343.18597,1.325494
7,60,1-1-1-0-0-0-1-0-0-0-0-0-1-2-1-0,343.58725,0.9252791
7,61,0-1-1-0-0-1-0-0-0-1-1-0-0-2-1-0,343.97394,0.58225405
7,62,0-1-1-0-0-0-1-0-1-1-0-0-0-2-1-0,343.89557,0.71254
7,63,0-1-0-1-0-1-0-0-0-1-0-0-1-1-1-0,344.0034,0.6117823
7,64,0-0-1-0-0-1-1-0-0-1-0-0-1-1-1-0,343.5601,1.0729105
7,65,0-1-1-0-0-0-1-0-0-1-1-0-1-1-0-0,343.58826,1.0531551
7,66,0-0-1-1-0-1-1-0-0-1-0-0-0-1-1-0,343.58826,1.0531551
7,67,0-1-0-1-0-1-1-0-0-0-0-0-1-1-1-0,344.0255,0.62858
7,68,0-1-1-1-0-1-0-0-0-1-0-0-1-0-1-0,344.02332,0.6411907
7,69,0-1-2-0-0-1-0-0-0-0-1-0-1-1-1-0,344.26123,0.40689376
7,70,0-1-1-1-0-0-1-0-0-1-0-0-1-2-0-0,344.39255,0.28133827
7,71,0-1-1-1-0-0-0-0-0-0-0-0-1-2-1-1,344.08224,0.5933014
7,72,0-1-1-1-0-0-1-0-1-0-0-0-0-2-1-0,344.2102,0.47913343
7,73,0-1-2-1-0-1-0-0-0-0-1-0-0-1-1-0,344.3302,0.4103161
7,74,0-1-3-1-0-0-1-0-0-0-1-0-0-1-1-0,344.0028,0.75689447
7,75,0-1-1-1-0-1-0-0-0-1-0-0-1-1-0-0,344.03857,0.7348259
7,76,0-1-1-1-0-0-1-0-0-0-1-0-1-1-0-0,344.04788,0.73779494
7,77,0-1-0-1-0-0-1-0-0-1-0-0-1-2-1-0,344.49316,0.29270795
7,78,0-1-2-1-0-0-1-0-0-1-0-0-1-0-1-0,344.49316,0.29270795
7,79,0-1-2-1-0-0-1-0-0-0-1-0-0-2-1-0,344.73132,0.057487853
7,80,1-1-1-2-0-0-1-0-0-0-0-0-0-1-1-0,343.9742,0.81938225
7,81,0-1-1-0-0-0-1-0-1-0-1-0-0-1-1-0,343.59366,1.227634
7,82,0-1-1-0-0-0-1-0-0-1-0-0-1-4-1-0,344.6452,0.21349175
7,83,1-1-1-0-0-0-0-0-0-1-0-0-0-1-1-1,342.62943,2.231934
7,84,1-1-1-0-0-0-1-0-0-0-0-0-0-1-1-1,342.62943,2.231934
7,85,0-1-1-1-0-0-0-0-1-0-1-0-0-1-1-0,343.87457,1.000726
7,86,0-1-1-0-0-0-1-0-0-0-1-0-0-2-1-1,343.78796,1.1239043
7,87,0-1-2-0-0-0-1-0-0-1-0-0-1-3-1-0,344.52704,0.4317824
7,88,0-1-1-2-0-0-1-0-0-1-0-0-1-0-1-0,344.8374,0.13644199
7,89,0-1-2-0-0-0-1-0-0-0-1-0-0-1-1-1,343.78018,1.2020254
7,90,0-0-1-1-0-0-1-0-0-1-0-0-2-1-1-0,344.8065,0.1875988
7,91,0-1-1-0-0-0-0-0-1-0-1-0-1-1-1-0,343.94363,1.0519043
7,92,0-1-2-0-0-0-0-0-0-1-1-0-0-1-1-1,343.80106,1.2020321
7,93,1-1-3-0-0-0-1-0-0-1-0-0-0-1-1-0,343.4595,1.5571786
7,94,0-1-1-0-0-1-0-0-0-0-1-0-2-1-1-0,344.63,0.40951133
7,95,0-1-1-0-0-1-0-0-1-1-0-0-0-1-1-0,343.71338,1.3388426
7,96,0-1-1-0-0-0-0-1-0-1-0-0-2-1-1-0,344.59088,0.48726165
7,97,0-1-1-3-0-0-0-0-0-1-0-0-1-1-1-0,344.48825,0.5980318
7,98,0-1-1-1-0-1-1-0-0-0-1-0-0-0-1-0,344.2303,0.94838023
7,99,0-1-1-0-0-0-0-0-1-1-1-0-0-2-1-0,344.56253,0.62849885
7,100,1-1-1-0-0-0-1-1-0-0-0-0-0-1-1-0,343.38443,1.8153719
8,1,0-1-1-1-0-0-1-0-0-1-0-0-1-1-1-0,343.00787,0.44796884
8,2,0-1-1-1-0-0-1-0-0-1-0-0-1-1-1-0,343.00787,0.44796884
8,3,0-1-1-1-0-0-1-0-0-1-0-0-1-2-1-0,343.9955,-7.81702e-05
8,4,0-1-2-1-0-0-1-0-0-1-0-0-1-1-1-0,343.9955,-7.81702e-05
8,5,0-1-1-1-0-0-1-0-0-1-1-0-0-1-1-0,343.20892,0.84175605
8,6,0-1-1-0-0-0-1-0-0-1-1-0-1-1-1-0,343.24084,0.82059354
8,7,0-1-1-1-0-1-1-0-0-1-0-0-0-1-1-0,343.24084,0.82059354
8,8,0-1-1-2-0-0-1-0-0-1-0-0-1-1-1-0,344.37256,-0.118292354
8,9,0-1-1-1-0-0-1-0-0-1-0-0-0-1-1-1,343.02908,1.3213168
8,10,0-1-1-0-0-0-1-0-0-1-0-0-1-1-1-1,343.0525,1.3301426
8,11,0-1-2-0-0-1-1-0-0-1-0-0-1-1-1-0,344.15363,0.3586672
8,12,1-1-1-1-0-0-1-0-0-0-0-0-1-1-1-0,343.57108,0.963709
8,13,0-1-1-0-0-1-1-0-0-1-1-0-0-1-1-0,343.57837,1.0595963
8,14,0-1-1-1-0-1-1-0-0-0-1-0-0-1-1-0,343.8938,0.81705505
8,15,0-1-1-0-0-1-0-0-0-1-1-0-1-1-1-0,343.8938,0.81705505
8,16,0-1-1-1-0-1-0-0-0-1-1-0-0-1-1-0,343.8981,0.8184397
8,17,0-1-1-1-0-0-1-0-1-1-0-0-0-1-1-0,343.7933,1.0275421
8,18,0-1-1-0-0-0-1-1-0-1-0-0-1-1-1-0,343.7933,1.0275421
8,19,0-1-1-1-0-0-1-1-0-1-0-0-0-1-1-0,343.81873,1.0823878
8,20,0-1-1-1-0-0-1-0-1-0-0-0-1-1-1-0,344.22382,0.72783005
8,21,0-1-1-1-0-0-0-0-1-1-0-0-1-1-1-0,344.22485,0.75060666
8,22,0-1-1-1-0-0-1-1-0-0-0-0-1-1-1-0,344.22485,0.75060666
8,23,0-1-1-0-0-1-1-0-0-1-0-0-0-1-1-1,343.35068,1.6256922
8,24,0-1-1-1-0-0-1-0-0-0-1-0-2-1-1-0,345.09842,-0.0072996076
8,25,0-1-1-2-0-1-0-0-0-1-0-0-1-1-1-0,345.09842,-0.0072996076
8,26,0-1-1-1-0-1-1-0-0-0-0-0-0-1-1-1,343.74866,1.3538699
8,27,1-1-1-0-0-0-0-0-0-1-1-0-1-1-1-0,343.74866,1.3538699
8,28,0-1-1-2-0-1-1-0-0-0-0-0-1-1-1-0,345.09708,0.0060317614
8,29,1-1-1-0-0-0-1-0-0-0-1-0-1-1-1-0,343.73694,1.3677529
8,30,1-1-1-1-0-1-1-0-0-0-0-0-0-1-1-0,343.76953,1.340065
8,31,0-1-1-0-0-0-1-0-0-1-0-0-1-2-1-1,344.17786,0.9622312
8,32,1-1-1-1-0-0-0-0-0-1-1-0-0-1-1-0,343.761,1.3833386
8,33,1-1-1-1-0-0-1-0-0-0-1-0-0-1-1-0,343.76126,1.3947335
8,34,0-1-1-1-0-0-0-0-0-0-1-0-1-1-1-1,344.24872,1.0203682
8,35,0-1-3-0-0-1-1-0-0-1-0-0-1-1-1-0,344.54266,0.74975944
8,36,0-1-0-1-0-0-1-0-0-1-1-0-1-1-1-0,344.60583,0.6973645
8,37,0-1-0-1-0-1-1-0-0-1-0-0-1-1-1-0,344.61682,0.6893271
8,38,0-1-1-2-0-0-1-0-0-1-0-0-0-1-1-1,344.46906,0.8479516
8,39,0-1-1-1-0-1-1-0-0-1-0-0-1-1-0-0,344.60287,0.7746108
8,40,0-1-1-1-0-0-1-0-0-1-1-0-1-1-0-0,344.61145,0.7772947
8,41,0-0-1-1-0-1-1-0-0-1-0-0-1-1-1-0,344.61145,0.7772947
8,42,0-1-1-0-0-1-1-0-0-1-0-0-1-3-1-0,344.6182,0.77723366
8,43,1-1-2-1-0-0-1-0-0-0-0-0-1-1-1-0,344.69666,0.70120007
8,44,0-1-1-0-0-1-1-1-0-0-0-0-1-1-1-0,344.4134,1.0015508
8,45,0-1-1-1-0-0-0-0-1-1-1-0-0-1-1-0,344.4134,1.0015508
8,46,0-1-1-0-0-0-1-0-1-0-1-0-1-1-1-0,344.45764,1.0141906
8,47,1-1-1-0-0-0-1-0-0-1-0-0-0-1-1-1,343.21503,2.2777262
8,48,0-1-1-1-0-1-1-1-0-0-0-0-0-1-1-0,344.4729,1.0308133
8,49,0-1-1-0-0-1-1-0-1-1-0-0-0-1-1-0,344.273,1.2401129
8,50,0-1-1-0-0-0-1-1-0-1-1-0-0-1-1-0,344.273,1.2401129
8,51,0-1-1-1-0-0-1-0-1-0-0-0-1-2-1-0,345.2598,0.2749164
8,52,0-1-1-1-0-1-1-0-1-0-0-0-0-1-1-0,344.577,0.9885113
8,53,0-1-2-1-0-0-1-1-0-0-0-0-1-1-1-0,345.23804,0.33056316
8,54,0-1-1-1-0-0-0-1-0-1-1-0-0-1-1-0,344.57407,1.0736796
8,55,1-1-1-0-0-1-1-0-0-1-0-0-0-2-1-0,344.42975,1.2227367
8,56,0-1-1-2-0-0-1-0-0-0-0-0-1-1-1-1,345.10828,0.57148147
8,57,0-1-1-1-1-0-1-0-0-1-0-0-0-1-1-0,343.42184,2.2617996
8,58,1-1-1-1-0-0-1-0-0-0-0-0-0-1-1-1,343.7126,1.9717978
8,59,1-1-1-0-0-0-0-0-0-1-0-0-1-1-1-1,343.7126,1.9717978
8,60,0-1-1-0-0-1-1-0-0-0-1-0-2-1-1-0,345.24292,0.45257345
8,61,1-1-1-0-0-0-1-0-0-1-1-0-0-2-1-0,344.46048,1.243341
8,62,0-1-1-1-0-0-1-0-0-1-0-1-0-1-1-0,343.45383,2.2949684
8,63,0-1-1-1-0-0-1-0-1-0-0-0-0-1-1-1,344.2876,1.5403296
8,64,0-1-1-1-1-0-1-0-0-0-0-0-1-1-1-0,343.94638,1.8920158
8,65,0-1-1-1-0-0-1-0-0-0-0-1-1-1-1-0,343.9549,1.9005245
8,66,0-1-0-0-0-1-1-0-0-1-1-0-1-1-1-0,344.86865,0.9917788
8,67,0-1-2-1-0-0-1-0-0-0-1-0-1-2-1-0,345.9475,-0.06748545
8,68,1-1-1-0-0-0-1-1-0-0-0-0-1-1-1-0,344.30588,1.5747356
8,69,0-1-2-1-0-1-1-0-0-0-0-0-1-2-1-0,345.93973,-0.051190313
8,70,0-1-4-1-0-0-1-0-0-1-0-0-1-1-1-0,345.8157,0.09329055
8,71,0-1-1-2-0-0-1-0-1-0-0-0-1-1-1-0,345.68207,0.23917848
8,72,1-1-1-1-0-0-0-1-0-1-0-0-0-1-1-0,344.3527,1.5812447
8,73,1-1-1-1-0-0-0-0-0-0-0-0-1-1-1-1,344.3118,1.6511079
8,74,0-1-3-0-0-0-1-1-0-1-0-0-1-1-1-0,345.10635,0.85872716
8,75,0-1-1-1-0-0-1-0-0-1-0-0-1-0-1-1,344.63934,1.3289664
8,76,0-0-1-1-0-0-1-0-0-1-0-0-1-1-1-1,344.5974,1.3745924
8,77,1-0-1-1-0-0-1-0-0-1-0-0-1-1-1-0,344.6069,1.3865926
8,78,0-1-2-0-0-1-1-0-0-0-0-0-1-1-1-1,344.88623,1.1172174
8,79,1-1-1-1-0-0-1-0-0-1-0-0-1-0-1-0,344.6593,1.3476267
8,80,1-1-3-0-0-0-1-0-0-1-0-0-1-1-1-0,344.55292,1.4554263
8,81,0-1-1-2-0-0-1-1-0-0-0-0-1-1-1-0,345.7138,0.30687088
8,82,0-0-1-1-0-1-1-0-0-1-1-0-0-1-1-0,344.91132,1.1327629
8,83,1-1-1-1-0-0-0-0-1-1-0-0-0-1-1-0,344.4248,1.6264598
8,84,0-1-0-1-0-0-1-1-0-1-0-0-1-1-1-0,345.13712,0.9385367
8,85,0-1-2-1-0-1-1-1-0-0-0-0-0-1-1-0,345.5426,0.53766656
8,86,0-1-1-1-0-1-1-0-1-0-0-0-0-2-1-0,345.59238,0.5575724
8,87,0-1-2-2-0-1-1-0-0-0-0-0-1-1-1-0,346.3726,-0.21638702
8,88,0-1-1-1-0-0-0-0-0-1-1-0-2-2-1-0,346.3726,-0.21638702
8,89,0-1-1-1-0-1-0-0-1-0-1-0-0-1-1-0,345.1806,1.0151789
8,90,0-1-1-0-0-0-1-1-0-1-0-0-1-3-1-0,345.28073,0.9865213
8,91,0-1-1-1-0-0-0-1-0-0-0-0-1-1-1-1,344.93027,1.3450485
8,92,1-1-1-2-0-1-0-0-0-1-0-0-0-1-1-0,345.29752,0.9888832
8,93,0-1-1-0-0-1-1-0-0-0-0-1-1-1-1-0,344.0581,2.2621815
8,94,1-1-2-1-0-0-0-0-0-0-1-0-1-1-1-0,345.43686,0.89085513
8,95,0-1-1-0-0-0-1-2-0-1-0-0-1-1-1-0,345.92804,0.4285566
8,96,0-0-2-1-0-1-1-0-0-1-0-0-1-1-1-0,345.83356,0.52379614
8,97,0-1-1-2-0-0-1-0-1-1-0-0-0-2-1-0,346.19296,0.16934495
8,98,0-1-1-1-0-0-2-0-0-1-0-0-1-1-1-0,346.15704,0.20878924
8,99,0-1-1-2-0-0-0-0-1-1-1-0-0-1-1-0,345.76895,0.6081187
8,100,0-1-1-0-0-1-1-1-0-0-0-0-2-1-1-0,345.76895,0.6081187
9,1,0-1-1-1-0-1-1-0-0-1-0-0-1-1-1-0,344.19427,0.48766887
