n_subs,rank,genotype,mu_real,sigma_real
7,1,0-4-3-0-0-2-0-0-1-0-2-0-0-3-4-0,760.0862,61.73552
7,2,0-4-3-0-0-2-0-0-1-0-2-0-0-3-4-0,760.0862,61.73552
7,3,0-4-3-0-0-2-0-1-0-0-2-0-0-3-4-0,760.0862,61.73552
7,4,0-4-3-0-0-2-0-0-1-0-2-0-0-3-4-0,760.0862,61.73552
7,5,0-3-3-0-0-2-0-1-0-0-2-0-0-3-4-0,756.5903,59.37278
7,6,0-4-3-1-0-2-0-0-0-0-2-0-0-3-4-0,760.6888,63.78767
7,7,0-4-3-0-0-1-0-1-0-0-2-0-0-3-4-0,760.825,64.63682
7,8,0-4-3-0-0-2-0-1-0-0-1-0-0-3-4-0,760.8907,64.726135
7,9,0-4-3-0-0-2-0-0-3-0-2-0-0-3-3-0,755.2866,59.24156
7,10,0-3-3-0-0-2-0-0-1-0-2-0-0-3-3-0,753.0078,57.054035
7,11,0-4-3-0-0-0-0-1-0-0-2-0-1-3-4-0,758.6787,63.008915
7,12,0-3-3-1-0-2-0-0-0-0-2-0-0-3-4-0,757.1942,61.575943
7,13,0-3-3-0-0-2-0-0-0-0-2-0-1-3-4-0,757.40137,61.792473
7,14,0-4-3-0-0-2-0-0-1-0-2-0-0-3-2-0,747.35,52.120968
7,15,0-4-3-0-0-1-0-3-0-0-2-0-0-3-4-0,759.5425,64.51165
7,16,0-4-3-0-0-2-0-3-0-0-1-0-0-3-4-0,759.60815,64.60774
7,17,0-4-3-0-0-2-0-0-1-0-1-0-0-3-3-0,757.3288,62.3376
7,18,0-3-3-0-0-2-0-0-1-0-1-0-0-3-4-0,757.26086,62.367683
7,19,0-4-3-0-0-2-0-1-0-0-1-0-0-3-3-0,757.3063,62.435345
7,20,0-4-3-1-0-1-0-0-0-0-2-0-0-3-4-0,761.0497,66.38056
7,21,0-4-3-0-0-0-0-0-1-0-2-0-1-3-3-0,757.0399,62.414173
7,22,0-4-3-0-0-0-0-3-0-0-2-0-1-3-4-0,757.3456,62.87168
7,23,0-4-3-0-0-2-0-3-0-0-0-0-1-3-4-0,756.593,62.409504
7,24,0-4-3-0-0-2-0-0-3-0-2-0-0-3-2-0,746.0175,52.002377
7,25,0-4-3-0-0-2-0-0-1-0-0-0-1-3-4-0,758.642,64.63893
7,26,0-3-3-0-0-2-0-0-3-0-1-0-0-3-4-0,755.9575,62.232044
7,27,0-3-3-0-0-2-0-0-1-0-1-0-0-3-3-0,753.80237,60.08537
7,28,0-3-3-0-0-2-0-1-0-0-1-0-0-3-3-0,753.8536,60.171333
7,29,0-4-3-0-0-2-0-1-1-0-0-0-0-3-4-0,757.61993,64.05301
7,30,0-4-3-0-0-0-0-1-1-0-2-0-0-3-4-0,757.61993,64.05301
7,31,0-4-3-0-0-2-0-0-3-0-3-0-0-3-4-0,751.8524,58.32079
7,32,0-3-3-0-0-2-0-1-0-0-3-0-0-3-4-0,749.3766,55.939827
7,33,0-3-3-0-0-0-0-0-1-0-2-0-1-3-3-0,753.7898,60.36167
7,34,0-4-3-0-0-3-0-1-0-0-2-0-0-3-3-0,749.47955,56.084408
7,35,0-4-3-0-0-0-0-3-0-0-2-0-1-3-3-0,753.80334,60.659348
7,36,0-4-3-1-0-3-0-0-0-0-2-0-0-3-4-0,754.4645,61.353306
