n_subs,rank,genotype,mu_real,sigma_real
7,1,0-0-3-0-1-0-0-2-2-1-0-1-0-3-0-0,-489.02875,175.8268
7,2,0-0-3-0-1-0-1-2-2-0-0-1-0-3-0-0,-489.02875,175.8268
7,3,0-0-3-0-1-0-0-2-2-1-0-1-0-3-0-0,-489.02875,175.8268
7,4,0-0-3-0-1-0-0-2-2-1-0-1-0-2-0-0,-474.54175,162.89452
7,5,0-0-2-0-1-0-1-2-2-0-0-1-0-3-0-0,-474.54175,162.89452
7,6,0-0-3-0-0-0-1-2-2-1-0-1-0-3-0-0,-465.28198,153.96968
7,7,0-0-3-0-1-0-0-2-2-0-0-1-0-3-3-0,-503.18738,192.09825
7,8,0-0-3-0-1-0-1-2-2-1-0-1-0-0-0-0,-428.2688,117.215836
7,9,0-0-0-0-1-0-1-2-2-1-0-1-0-3-0-0,-428.2688,117.215836
7,10,0-0-3-0-1-0-1-2-2-0-0-1-0-4-0-0,-472.7439,162.55301
7,11,0-0-2-0-1-0-0-2-2-1-0-1-0-2-0-0,-456.72696,146.71967
7,12,0-0-2-0-0-0-1-2-2-1-0-1-0-3-0-0,-448.98004,139.20058
7,13,0-0-3-0-1-0-1-2-2-1-0-0-0-2-0-0,-448.98004,139.20058
7,14,0-0-3-0-1-0-1-2-0-1-0-1-0-3-0-0,-482.3469,172.667
7,15,0-0-3-0-1-0-1-0-2-1-0-1-0-3-0-0,-482.3469,172.667
7,16,0-0-0-0-1-0-1-2-2-1-0-1-0-2-0-0,-412.40045,102.93614
7,17,0-0-2-0-1-0-0-2-2-0-0-1-0-3-3-0,-486.80267,177.4498
7,18,0-3-3-0-1-0-0-2-2-0-0-1-0-2-0-0,-486.80267,177.4498
7,19,0-3-3-0-0-0-0-2-2-1-0-1-0-3-0-0,-473.8382,164.69281
7,20,0-0-3-0-1-0-1-2-2-0-0-0-0-3-3-0,-473.8382,164.69281
7,21,0-3-3-0-1-0-1-2-2-0-0-0-0-3-0-0,-473.6343,164.49419
7,22,0-0-3-0-1-0-1-2-2-0-0-1-0-0-3-0,-433.15796,124.381355
7,23,0-3-3-0-1-0-1-2-2-0-0-1-0-0-0-0,-432.66626,124.035576
7,24,0-0-2-0-1-0-1-2-2-0-0-1-0-4-0-0,-457.89603,149.32822
7,25,0-0-0-0-1-0-1-2-2-1-0-1-0-4-0-0,-413.38654,105.29296
7,26,0-0-3-0-1-0-1-0-2-1-0-1-0-2-0-0,-466.351,158.34053
7,27,0-0-3-0-1-0-1-2-0-1-0-1-0-2-0-0,-466.63336,158.6979
7,28,0-0-2-0-1-0-1-0-2-1-0-1-0-3-0-0,-466.63336,158.6979
7,29,0-3-4-0-1-0-0-2-2-0-0-1-0-3-0-0,-487.9715,180.07822
7,30,0-0-3-0-1-0-1-0-2-0-0-1-0-3-3-0,-491.29987,183.67581
7,31,0-3-3-0-1-0-1-0-2-0-0-1-0-3-0-0,-491.08475,183.48074
7,32,0-3-2-0-0-0-0-2-2-1-0-1-0-3-0-0,-455.70813,148.18477
7,33,0-0-3-0-1-0-0-0-2-1-0-1-0-3-3-0,-491.96698,184.4541
7,34,0-0-2-0-0-0-0-2-2-1-0-1-0-3-3-0,-455.37604,147.90149
7,35,0-0-3-0-0-0-1-2-2-1-0-0-0-3-3-0,-450.05524,142.83534
7,36,0-0-0-0-1-0-1-2-2-1-0-1-0-0-3-0,-375.16577,68.10993
7,37,0-3-0-0-1-0-0-2-2-1-0-1-0-2-0-0,-417.378,110.33811
7,38,0-3-0-0-1-0-1-2-2-0-0-1-0-2-0-0,-421.29413,114.345
7,39,0-3-0-0-0-0-1-2-2-1-0-1-0-3-0-0,-411.4192,104.4998
7,40,0-3-3-0-1-0-1-2-2-1-0-0-0-0-0-0,-411.3473,104.516
7,41,0-0-0-0-0-0-1-2-2-1-0-1-0-3-3-0,-411.3473,104.516
7,42,0-0-2-0-1-0-1-2-2-1-0-0-0-4-0-0,-433.94833,127.18167
7,43,0-0-3-0-1-0-0-2-2-0-0-1-1-3-0-0,-493.43625,186.68379
7,44,0-3-0-0-1-0-1-2-2-1-0-0-0-3-0-0,-412.341,105.60126
7,45,0-0-4-0-1-0-1-2-2-1-0-0-0-2-0-0,-433.85614,127.18228
7,46,0-0-2-0-0-0-1-2-2-1-0-1-0-4-0-0,-433.85614,127.18228
7,47,2-0-3-0-1-0-0-2-2-0-0-1-0-3-0-0,-494.05664,187.43047
7,48,0-3-3-0-1-0-0-2-2-0-0-1-0-0-3-0,-449.2398,142.97318
7,49,0-3-4-0-0-0-1-2-2-0-0-1-0-3-0-0,-460.52362,154.54762
7,50,0-0-3-0-1-0-0-2-1-1-0-1-0-3-0-0,-481.89548,176.05202
7,51,0-3-2-0-1-0-0-2-0-1-0-1-0-3-0-0,-473.818,167.98575
7,52,0-0-2-0-0-0-1-2-2-0-0-1-0-2-3-0,-441.734,135.96266
7,53,0-3-2-0-1-0-1-2-0-0-0-1-0-3-0-0,-477.10736,171.36902
7,54,0-3-2-0-0-0-1-2-2-0-0-1-0-2-0-0,-441.23636,135.52977
7,55,0-3-2-0-1-0-1-0-2-0-0-1-0-3-0-0,-476.49054,170.79323
7,56,0-3-3-0-0-0-1-2-2-1-0-0-0-2-0-0,-433.20435,127.70211
7,57,0-0-2-0-0-0-1-2-2-1-0-0-0-3-3-0,-433.20435,127.70211
7,58,0-0-3-0-1-0-1-2-0-1-0-0-0-3-3-0,-467.74368,162.24615
7,59,0-0-0-0-0-0-1-2-2-1-0-1-0-2-3-0,-394.87756,89.64064
7,60,0-3-2-0-1-0-1-2-2-1-0-0-0-0-0-0,-394.87756,89.64064
7,61,0-0-2-0-1-0-1-2-2-1-0-0-0-0-3-0,-394.9936,89.76528
7,62,0-3-0-0-1-0-1-2-2-1-0-0-0-2-0-0,-395.53577,90.43624
7,63,0-0-3-0-1-0-1-0-2-1-0-1-0-0-3-0,-429.28412,124.306
